Date;Heure;Periode;Lien;Titre;Type;Durée (Reels);Nb Image (Carrousel);Contenue;Collaboration;Vues;Vues Followers;Vues Non Followers;Nb Interaction;Likes;Commentaires;Partage;Enregistrement;Activté du Profil;Visites du profil;Followers en plus;Appuis sur des liens externes;Hashtags
2024-10-22;17:52;Avant Trail;https://www.instagram.com/p/DBbp_9wswNz/;Partenariat Ecologic;Photo;;;Partenariat;Non;2158;1424,28;733,72;34,00;33;0;1;0;7;7;0;0;1
2024-10-23;11:51;Avant Trail;https://www.instagram.com/p/DBdlhg8MpTu/;Villa Petite Ours;Photo;;;Lieux;Non;2479;1737,78;741,22;73,00;69;0;2;2;28;22;1;5;2
2024-10-24;;Avant Trail;https://www.instagram.com/p/DBg2wQYoaGg/;i-run X on;Reels;00:13;;Partenariat;Oui;16025;1197,47;14827,53;279,00;275;4;0;0;0;;;;1
2024-10-25;10:40;Avant Trail;https://www.instagram.com/p/DBim84VAYXl/?img_index=1;Jeu Concours X i-run;Carrousel;;3;Jeu Concours;Oui;36201;1197,47;35003,53;976,69;594;363;5;15;0;;;;1
2024-10-26;19:00;Avant Trail;https://www.instagram.com/p/DBmE-RhM2pZ/;Catalans;Photo;;;Lieux;Non;3808;2456,16;1351,84;125,00;115;5;2;3;47;42;1;4;2
2024-10-28;10:28;Avant Trail;https://www.instagram.com/p/DBqT9AJMcxH/;965 Marches a NDG;Photo;;;Fun Fact;Non;8002;4105,03;3896,97;311,00;255;18;29;9;233;175;14;44;2
2024-10-29;09:26;Avant Trail;https://www.instagram.com/p/DBsxq0UsNRW/;Jeu Concours X RTL2;Photo;;;Jeu Concours;Oui;4720;1256,98;3463,02;102,00;85;9;5;3;0;;;;0
2024-10-29;16:23;Avant Trail;https://www.instagram.com/p/DBthV47sK4d/?img_index=1;Programme d'Entrainement S7;Carrousel;;3;Entrainement;Non;4148;3003,15;1144,85;50,00;44;1;1;4;42;37;1;4;1
2024-10-31;10:58;Avant Trail;https://www.instagram.com/p/DBvg9KIsLcN/;Corniche Kenedy 2;Photo;;;Lieux;Non;4719;2977,69;1741,31;177,00;161;4;6;6;91;71;2;18;1
2024-10-31;;Avant Trail;https://www.instagram.com/p/DBxxX8dMcw6/;Reco du parcours X on & i-run;Reels;01:10;;Reco;Non;6250;2962,50;3287,50;216,00;200;6;9;1;8;;8;;2
2024-11-01;22:04;Avant Trail;https://www.instagram.com/p/DB120tkMJNe/;J-10;Photo;;;Rappel;Non;4538;2877,09;1660,91;128,00;118;3;7;0;68;54;0;14;2
2024-11-03;12:05;Avant Trail;https://www.instagram.com/p/DB570tWMzsB/;J-7;Photo;;;Rappel;Non;4154;2347,01;1806,99;150,00;133;10;6;1;80;62;4;14;1
2024-11-04;14:11;Avant Trail;https://www.instagram.com/p/DB8vFZisCIm/?img_index=1;Programme d'Entrainement S8;Carrousel;;3;Entrainement;Non;3678;2688,62;989,38;55,00;52;1;0;2;69;52;0;17;1
2024-11-05;;Avant Trail;https://www.instagram.com/p/DB_I0KHIck3/;Trailer Adverco x MOE;Reels;00:47;;Trailer;Oui;11643;1377,95;10265,05;161,98;132;25;5;0;0;;;;0
2024-11-06;11:57;Avant Trail;https://www.instagram.com/p/DCBpUDss03K/;Infos Pratique Mobilité;Photo;;;Information;Non;5688;3253,54;2434,46;107,00;98;1;5;3;151;120;6;25;1
2024-11-06;;Avant Trail;https://www.instagram.com/p/DCCMHiHtoUb/;Jeu Concours X MarseilleZigZag;Reels;00:12;;Jeu Concours;Oui;8222;1401,69;6820,31;294,98;133;130;5;27;0;;;;3
2024-11-08;22:24;Avant Trail;https://www.instagram.com/p/DCH6riEMbz5/?img_index=1;Plan du village j-1;Carrousel;;9;Présentation;Non;7397;4926,40;2470,60;135,00;128;2;5;0;145;116;0;29;1
2024-11-10;;Pendant Trail;https://www.instagram.com/p/DCLqdJutz81/;C'est partie, lancement !;Reels;00:24;;Trail;Oui;45489;4184,99;41304,01;741,00;722;7;7;5;13;;13;;0
2024-11-10;10:00;Pendant Trail;https://www.instagram.com/p/DCLvGPgul8l/?img_index=9;Recap de la matinée;Carrousel;;20;Trail;Non;10822;5389,36;5432,64;463,00;438;3;12;10;188;163;6;19;0
2024-11-10;;Pendant Trail;https://www.instagram.com/p/DCL177VuP3j/;Ils avancent !;Reels;00:14;;Trail;Non;58504;6084,42;52419,58;1511,00;1436;10;39;26;323;;323;;0
2024-11-10;11:30;Pendant Trail;https://www.instagram.com/p/DCL5Xvnu_R1/?img_index=1;Vous serez de la prochaine edition ?;Carrousel;;11;Trail;Non;20611;5317,64;15293,36;510,00;467;31;4;8;297;251;11;35;0
2024-11-10;;Pendant Trail;https://www.instagram.com/p/DCL6AIDOcI8/;Arrivée des derniers coureurs;Reels;00:09;;Trail;Non;11566;4765,19;6800,81;334,00;317;7;7;3;5;;5;;0
2024-11-10;11:49;Pendant Trail;https://www.instagram.com/p/DCL7hVvOfWx/?img_index=1;Bravo a tous les participants !;Carrousel;;8;Trail;Non;10380;5096,58;5283,42;421,00;392;14;10;5;165;147;8;10;0
2024-11-10;;Pendant Trail;https://www.instagram.com/p/DCL8tVnOEx_/;Vous etiez si nombreux !;Reels;00:11;;Trail;Non;7809;3107,98;4701,02;251,00;235;6;5;5;2;;2;;0
2024-11-10;14:00;Pendant Trail;https://www.instagram.com/p/DCMKlSBui37/?img_index=1;Un immense merci !;Carrousel;;8;Trail;Non;6843;4776,41;2066,59;324,00;307;10;2;5;211;191;1;19;0
2024-11-10;;Pendant Trail;https://www.instagram.com/p/DCMLcZKOnXM/;De très beaux podiums;Reels;00:11;;Trail;Non;12424;5354,74;7069,26;299,00;283;5;7;4;3;;3;;0
2024-11-10;14:14;Pendant Trail;https://www.instagram.com/p/DCMMMoNuk7q/?img_index=1;Felicitations a tous les courreurs… !;Carrousel;;13;Trail;Non;20084;7250,32;12833,68;827,00;765;26;25;11;517;464;13;40;0
2024-11-18;;Pendant Trail;https://www.instagram.com/p/DCMNyiuOvJj/;Un grand merci !;Reels;00:49;;Trail;Non;12705;5768,07;6936,93;656,00;571;49;26;10;10;;10;;0
2024-11-19;;Après Trail;https://www.instagram.com/p/DCWHYALMf6d/;After Movie;Reels;00:46;;After Movie;Oui;25141;5003,06;20137,94;726,00;655;17;30;24;10;;10;;1
